Nom,Type d'établissement,Patronyme,Réussite au brevet (en %),Type de secteur,Adresse,Code postal,Commune,latitude,longitude,Etat de l'établissement,position,Précision de secteur,Date d'ouverture,Internat,Admission
Collège Alain Fournier,COLLEGE GENERALE,ALAIN FOURNIER,97,Public,83 rue SAINT GENES,33000,Bordeaux,44.827696704823374,-0.5800610679433605,OUVERT,"44.827696704823374, -0.5800610679433605",SANS OBJET,1969-03-03,PAS INTERNAT,Dès la 6ème
Collège Albert Camus,COLLEGE GENERALE,ALBERT CAMUS,84,Public,3 rue LUCIEN PIET,33326,Eysines,44.88464828310302,-0.644175661699773,OUVERT,"44.88464828310302, -0.644175661699773",SANS OBJET,1972-02-23,PAS INTERNAT,Dès la 6ème
Collège Alfred Mauguin,COLLEGE GENERALE,ALFRED MAUGUIN,90,Public,2 A avenue du Marechal Juin,33170,Gradignan,44.772249000783766,-0.5967387196056518,OUVERT,"44.772249000783766, -0.5967387196056518",SANS OBJET,1973-04-02,PAS INTERNAT,Dès la 6ème
Collège Alienor d'Aquitaine,COLLEGE GENERALE,ALIENOR D AQUITAINE,82,Public,22 route DU MARTINET,33770,Salles,44.54671732424039,-0.8818427080365963,OUVERT,"44.54671732424039, -0.8818427080365963",SANS OBJET,1969-03-03,PAS INTERNAT,Dès la 6ème
Collège Aliénor d'Aquitaine,COLLEGE GENERALE,ALIENOR D AQUITAINE,90,Public,77 avenue DES SAPINETTES,33127,Martignas-sur-Jalle,44.845820328393344,-0.7813895460255532,OUVERT,"44.845820328393344, -0.7813895460255532",SANS OBJET,1987-09-01,PAS INTERNAT,Dès la 6ème
Collège Aliénor d'Aquitaine,COLLEGE GENERALE,ALIENOR D AQUITAINE,89,Public,16 rue DOM DEVIENNE,33800,Bordeaux,44.82935744008306,-0.5606440643261218,OUVERT,"44.82935744008306, -0.5606440643261218",SANS OBJET,1988-09-01,PAS INTERNAT,Dès la 6ème
Collège Aliénor d'Aquitaine,COLLEGE GENERALE,ALIENOR D AQUITAINE,87,Public,325 rue Jean Monnet,33350,Castillon-la-Bataille,44.85113390318635,-0.05064821201151862,OUVERT,"44.85113390318635, -0.05064821201151862",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Alouette,COLLEGE GENERALE,ALOUETTE,90,Public,20 avenue PIERRE DE COUBERTIN,33601,Pessac,44.80172118998038,-0.6683861199855397,OUVERT,"44.80172118998038, -0.6683861199855397",SANS OBJET,1968-04-03,PAS INTERNAT,Dès la 6ème
Collège Anatole France,COLLEGE GENERALE,ANATOLE FRANCE,90,Public,28 chemin DES BARIES,33410,Cadillac-sur-Garonne,44.630848516963546,-0.3062434493441792,OUVERT,"44.630848516963546, -0.3062434493441792",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège André Lahaye,COLLEGE GENERAL ET SEGPA,ANDRE LAHAYE,99,Public,1 avenue DE L ESPERANCE,33510,Andernos-les-Bains,44.74595270165103,-1.0880210512702047,OUVERT,"44.74595270165103, -1.0880210512702047",SANS OBJET,1971-02-04,PAS INTERNAT,Dès la 6ème
Collège Andrée Chedid,COLLEGE GENERALE,ANDREE CHEDID,"94,3",Public,1 allée Blanche Peyron,33185,Le Haillan,44.86404654660172,-0.672243728904551,OUVERT,"44.86404654660172, -0.672243728904551",SANS OBJET,2022-09-01,PAS INTERNAT,Dès la 6ème
Collège Ausone,COLLEGE GENERAL ET SEGPA,AUSONE,93,Public,69 avenue AUSONE,33492,Le Bouscat,44.87121737445598,-0.5950395206510349,OUVERT,"44.87121737445598, -0.5950395206510349",SANS OBJET,1969-03-03,PAS INTERNAT,Dès la 6ème
Collège Ausone,COLLEGE ET SEGPA,AUSONE,93,Public,5 avenue FRANCK CAZENAVE,33430,Bazas,44.426871286421495,-0.21972771517255607,OUVERT,"44.426871286421495, -0.21972771517255607",SANS OBJET,1975-04-09,PAS INTERNAT,Dès la 6ème
Collège Belcier,COLLEGE GENERALE,BELCIER,"88,5",Public,31 rue de la louisiane,33800,Bordeaux,44.819978840067975,-0.5433804002079144,OUVERT,"44.819978840067975, -0.5433804002079144",SANS OBJET,2022-09-01,PAS INTERNAT,Dès la 6ème
Collège Blanqui,COLLEGE GENERALE,BLANQUI,94,Public,75 rue CHARLES MARTIN,33300,Bordeaux,44.873897200336074,-0.5504623950780059,OUVERT,"44.873897200336074, -0.5504623950780059",SANS OBJET,1970-02-18,PAS INTERNAT,Dès la 6ème
Collège Bourran,COLLEGE GENERALE ET SEGPA,BOURRAN,91,Public,6 rue Léo Lagrange,33700,Mérignac,44.838087954165786,-0.632039340442466,OUVERT,"44.838087954165786, -0.632039340442466",SANS OBJET,1972-02-24,PAS INTERNAT,Dès la 6ème
Collège Camille Claudel,COLLEGE GENERALE,CAMILLE CLAUDEL,95,Public,6 chemin du Stade,33360,Latresne,44.78636463790582,-0.4917198947082457,OUVERT,"44.78636463790582, -0.4917198947082457",SANS OBJET,1968-04-02,PAS INTERNAT,Dès la 6ème
Collège Cantelande,COLLEGE GENERALE,CANTELANDE,96,Public,1 chemin DES SOURCES,33610,Cestas,44.75831213898892,-0.6875590104313687,OUVERT,"44.75831213898892, -0.6875590104313687",SANS OBJET,1976-02-13,PAS INTERNAT,Dès la 6ème
Collège Canterane,COLLEGE GENERALE,CANTERANE,89,Public,44 rue ST GENES,33480,Castelnau-de-Médoc,45.03029061857,-0.7912551443607616,OUVERT,"45.03029061857, -0.7912551443607616",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Capeyron,COLLEGE GENERALE,CAPEYRON,95,Public,50 avenue DU BEDAT,33700,Mérignac,44.849560003439734,-0.6474610333265041,OUVERT,"44.849560003439734, -0.6474610333265041",SANS OBJET,1965-12-08,PAS INTERNAT,Dès la 6ème
Collège Cassignol,COLLEGE GENERALE ,CASSIGNOL,93,Public,63 rue LAROCHE,33000,Bordeaux,44.852276655981946,-0.5849179937998745,OUVERT,"44.852276655981946, -0.5849179937998745",SANS OBJET,1967-11-07,PAS INTERNAT,Dès la 6ème
Collège Chambéry,COLLEGE ET SEGPA,CHAMBERY,89,Public,138 route DE LEOGNAN,33140,Villenave-d'Ornon,44.755926314660364,-0.5847675127212141,OUVERT,"44.755926314660364, -0.5847675127212141",SANS OBJET,1974-05-02,PAS INTERNAT,Dès la 6ème
Collège Champ d'Eymet,COLLEGE GENERALE,CHAMP D EYMET,91,Public,8 rue des Ecoles,33790,Pellegrue,44.74341536512775,0.07393048682493016,OUVERT,"44.74341536512775, 0.07393048682493016",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Chante Cigale,COLLEGE GENERALE ET SEGPA,CHANTE CIGALE,91,Public,21 allée Pierre Corneille,33470,Gujan-Mestras,44.6218187197079,-1.060665964484304,OUVERT,"44.6218187197079, -1.060665964484304",SANS OBJET,1970-02-18,PAS INTERNAT,Dès la 6ème
Collège Cheverus,COLLEGE GENERALE,CHEVERUS,94,Public,10  RUE DE CHEVERUS,33000,Bordeaux,44.83924225573894,-0.5758001082364536,OUVERT,"44.83924225573894, -0.5758001082364536",SANS OBJET,1969-03-03,PAS INTERNAT,Dès la 6ème
Collège Cheverus,COLLEGE GENERALE ET SEGPA,CLG CHEVERUS,"98,4",Public,2  RUE DES AUGUSTINS,33000,Bordeaux,44.832468834419174,-0.5708091416042685,OUVERT,"44.832468834419174, -0.5708091416042685",SANS OBJET,1970-05-26,PAS INTERNAT,Dès la 6ème
Collège Claude Masse,COLLEGE GENERALE,CLAUDE MASSE,84,Public,4 avenue PIERRE BARRE,33440,Ambarès-et-Lagrave,44.9282023332049,-0.4831464136914807,OUVERT,"44.9282023332049, -0.4831464136914807",SANS OBJET,1968-04-02,PAS INTERNAT,Dès la 6ème
COLLEGE COURS PERET BORDEAUX,COLLEGE GENERALE,COURS PERET BORDEAUX,95,Privé,4 rue Edmond Rostand,33185,Le Haillan,44.86071074338242,-0.667122393404524,OUVERT,"44.86071074338242, -0.667122393404524",HORS CONTRAT,2021-09-01,PAS INTERNAT,Dès la 6ème
Collège d'Arsac,COLLEGE GENERALE,D'ARSAC,89,Public,2 allée PANCHON,33460,Arsac,44.99004243475072,-0.6950206593355172,OUVERT,"44.99004243475072, -0.6950206593355172",SANS OBJET,1985-09-01,PAS INTERNAT,Dès la 6ème
Collège de Bordeaux Lac,COLLEGE GENERALE,DE BORDEAUX LAC,,Public,12 rue Marceline Desbordes-Valmore,33300,Bordeaux,44.880941090355876,-0.5690177113569815,OUVERT,"44.880941090355876, -0.5690177113569815",SANS OBJET,2022-09-01,PAS INTERNAT,Dès la 6ème
Collège de l'Estey,COLLEGE GENERALE,DE L'ESTEY,96,Public,2200 avenue DU LAS,33127,Saint-Jean-d'Illac,44.806465392850555,-0.8079980874686965,OUVERT,"44.806465392850555, -0.8079980874686965",SANS OBJET,2006-09-01,PAS INTERNAT,Dès la 6ème
Collège de Lacanau,COLLEGE GENERALE,DE LACANAU,86,Public,Allée du Collège,33680,Lacanau,44.987435039854766,-1.0881781291212305,OUVERT,"44.987435039854766, -1.0881781291212305",SANS OBJET,2013-09-01,PAS INTERNAT,Dès la 6ème
Collège de Montussan,COLLEGE GENERALE,DE MONTUSSAN,,Public,Route d'Angeline,33450,Montussan,,,A OUVRIR,,SANS OBJET,2025-09-01,PAS INTERNAT,Dès la 6ème
Collège de Saint André de Cubzac,COLLEGE GENERALE,DE SAINT ANDRE DE CUBZAC,86,Public,270 chemin DU GYMNASE,33240,Saint-André-de-Cubzac,45.005447653596676,-0.43218260433885347,OUVERT,"45.005447653596676, -0.43218260433885347",SANS OBJET,1970-02-18,PAS INTERNAT,Dès la 6ème
Collège de Saint-Selve,COLLEGE GENERALE,DE SAINT-SELVE,"99,2",Public,1 rue du collège,33650,Saint-Selve,44.666981205309554,-0.48412192751892213,OUVERT,"44.666981205309554, -0.48412192751892213",SANS OBJET,2022-09-01,PAS INTERNAT,Dès la 6ème
Collège du Val de Saye,COLLEGE GENERALE,DU VAL DE SAYE,86,Public,2 rue du Collège,33920,Saint-Yzan-de-Soudiac,45.139329958860735,-0.41145166104362557,OUVERT,"45.139329958860735, -0.41145166104362557",SANS OBJET,1971-02-04,PAS INTERNAT,Dès la 6ème
Collège Edouard Vaillant,COLLEGE GENERALE,EDOUARD VAILLANT,76,Public,44 cours Louis Fargue,33300,Bordeaux,44.86473237706206,-0.5654991881124918,OUVERT,"44.86473237706206, -0.5654991881124918",SANS OBJET,1972-02-23,PAS INTERNAT,Dès la 6ème
Collège EIN GEDI - Etablissement expérimental et innovant au service des jeunes ayant une déficience intellectuelle,COLLEGE GENERALE PRIVE,EIN GEDI,92,Privé,6 rue de Ségur,33000,Bordeaux,44.825568631462524,-0.5883204364671979,OUVERT,"44.825568631462524, -0.5883204364671979",HORS CONTRAT,2022-01-15,PAS INTERNAT,Dès la 6ème
Collège Eléonore de Provence,COLLEGE,ELEONORE DE PROVENCE,92,Public,Le Stade,33580,Monségur,44.64894694362922,0.06938788490665107,OUVERT,"44.64894694362922, 0.06938788490665107",SANS OBJET,1965-05-01,INTERNAT,Dès la 6ème
Collège Elie Faure,COLLEGE GENERALE ET SEGPA,ELIE FAURE,80,Public,Port STE FOY,33220,Sainte-Foy-la-Grande,44.84251417619523,0.20311419962138558,OUVERT,"44.84251417619523, 0.20311419962138558",SANS OBJET,1977-03-14,PAS INTERNAT,Dès la 6ème
Collège Elise Deroche,COLLEGE GENERALE,ELISE DEROCHE,90,Public,127 voie André Seyrac,33490,Le Pian-sur-Garonne,44.56962001444899,-0.2279028558482729,OUVERT,"44.56962001444899, -0.2279028558482729",SANS OBJET,1996-09-01,PAS INTERNAT,Dès la 6ème
Collège Emile Combes,COLLEGE GENERALE,EMILE COMBES,94,Public,76 rue EMILE COMBES,33000,Bordeaux,44.83480165918746,-0.6099365776943609,OUVERT,"44.83480165918746, -0.6099365776943609",SANS OBJET,1987-09-01,PAS INTERNAT,Dès la 6ème
Collège Emile Durkheim,COLLEGE GENERALE,EMILE DURKHEIM,90,Public,6 rue LA MICHERE,33240,Peujard,45.04328189903859,-0.42180290721620245,OUVERT,"45.04328189903859, -0.42180290721620245",SANS OBJET,1986-09-01,PAS INTERNAT,Dès la 6ème
Collège Emile Zola,COLLEGE GENERALE,EMILE ZOLA,88,Public,19  RUE DE LOS HEROS,33185,Le Haillan,44.87073647056862,-0.6732671518038379,OUVERT,"44.87073647056862, -0.6732671518038379",SANS OBJET,1978-09-01,PAS INTERNAT,Dès la 6ème
