Etablissement,Privé / public,Commune,Niveau,Admission,Réussite au brevet,Internat
Collège Alain Fournier,Public,Bordeaux,Générale,,97.0%,PAS D INTERNAT
Collège Albert Camus,Public,Eysines,Générale,,84.0%,PAS D INTERNAT
Collège Alfred Mauguin,Public,Gradignan,Générale et SEGPA,,90.0%,PAS D INTERNAT
Collège Alienor d'Aquitaine,Public,Salles,Générale,,82.0%,PAS D INTERNAT
Collège Aliénor d'Aquitaine,Public,Martignas-sur-Jalle,Générale,,90.0%,PAS D INTERNAT
Collège Aliénor d'Aquitaine,Public,Bordeaux,Générale,,89.0%,PAS D INTERNAT
Collège Aliénor d'Aquitaine,Public,Castillon-la-Bataille,Générale,,87.0%,PAS D INTERNAT
Collège Alouette,Public,Pessac,Générale,,90.0%,PAS D INTERNAT
Collège Anatole France,Public,Cadillac-sur-Garonne,Générale,,90.0%,PAS D INTERNAT
Collège André Lahaye,Public,Andernos-les-Bains,SEGPA,,99.0%,PAS D INTERNAT
Collège Andrée Chedid,Public,Le Haillan,Générale,,,PAS D INTERNAT
Collège Ausone,Public,Le Bouscat,Générale et SEGPA,,93.0%,PAS D INTERNAT
Collège Ausone,Public,Bazas,Générale et SEGPA,,93.0%,PAS D INTERNAT
Collège Belcier,Public,Bordeaux,COLLEGE,,,PAS D INTERNAT
Collège Blanqui,Public,Bordeaux,COLLEGE,,94.0%,PAS D INTERNAT
Collège Bourran,Public,Mérignac,COLLEGE ET SEGPA,,91.0%,PAS D INTERNAT
Collège Camille Claudel,Public,Latresne,COLLEGE,,95.0%,PAS D INTERNAT
Collège Cantelande,Public,Cestas,COLLEGE,,96.0%,PAS D INTERNAT
Collège Canterane,Public,Castelnau-de-Médoc,COLLEGE,,89.0%,PAS D INTERNAT
Collège Capeyron,Public,Mérignac,COLLEGE,,95.0%,PAS D INTERNAT
Collège Cassignol,Public,Bordeaux,COLLEGE,,93.0%,PAS D INTERNAT
Collège Chambéry,Public,Villenave-d'Ornon,COLLEGE ET SEGPA,,89.0%,PAS D INTERNAT
Collège Champ d'Eymet,Public,Pellegrue,COLLEGE,,91.0%,PAS D INTERNAT
Collège Chante Cigale,Public,Gujan-Mestras,COLLEGE ET SEGPA,,91.0%,PAS D INTERNAT
Collège Cheverus,Public,Bordeaux,COLLEGE ET SEGPA,,94.0%,PAS D INTERNAT
Collège Claude Masse,Public,Ambarès-et-Lagrave,COLLEGE,,84.0%,PAS D INTERNAT
COLLEGE COURS PERET BORDEAUX,Privé,Le Haillan,COLLEGE PRIVE,,,PAS D INTERNAT
Collège d'Arsac,Public,Arsac,COLLEGE,,89.0%,PAS D INTERNAT
Collège de Bordeaux Lac,Public,Bordeaux,COLLEGE,,,PAS D INTERNAT
Collège de l'Estey,Public,Saint-Jean-d'Illac,COLLEGE,,96.0%,PAS D INTERNAT
Collège de Lacanau,Public,Lacanau,COLLEGE,,86.0%,PAS D INTERNAT
Collège de Montussan,Public,Montussan,COLLEGE,,,PAS D INTERNAT
Collège de Saint André de Cubzac,Public,Saint-André-de-Cubzac,COLLEGE,,86.0%,PAS D INTERNAT
Collège de Saint-Selve,Public,Saint-Selve,COLLEGE,,,PAS D INTERNAT
Collège du Val de Saye,Public,Saint-Yzan-de-Soudiac,COLLEGE,,86.0%,PAS D INTERNAT
Collège Edouard Vaillant,Public,Bordeaux,COLLEGE,,76.0%,PAS D INTERNAT
